# Haddock
 1979 2014 1979 2014 1 5 14 2 0
#Landaður afli
 0.248 0.312 0.573 0.762 0.846 1.000 0.907 1.000  1  1  1  1  1
 0.124 0.479 0.382 0.750 0.753 0.606 0.985 1.000  1  1  1  1  1
 0.191 0.362 0.590 0.648 0.787 0.739 0.949 0.908  1  1  1  1  1
 0.093 0.436 0.587 0.683 0.750 0.783 0.880 1.000  1  1  1  1  1
 0.026 0.454 0.668 0.770 0.733 0.849 0.899 1.000  1  1  1  1  1
 0.050 0.397 0.683 0.724 0.749 0.892 0.761 0.920  1  1  1  1  1
 0.107 0.261 0.632 0.808 0.868 0.873 1.000 0.780  1  1  1  1  1
 0.091 0.377 0.522 0.753 0.895 0.916 0.918 1.000  1  1  1  1  1
 0.047 0.286 0.633 0.800 0.934 0.928 1.000 1.000  1  1  1  1  1
 0.062 0.347 0.685 0.867 0.922 0.946 1.000 1.000  1  1  1  1  1
 0.037 0.361 0.570 0.831 0.910 1.000 1.000 1.000  1  1  1  1  1
 0.024 0.230 0.562 0.753 0.927 0.936 0.968 1.000  1  1  1  1  1
 0.027 0.117 0.462 0.621 0.739 0.918 1.000 1.000  1  1  1  1  1
 0.078 0.208 0.418 0.680 0.770 0.875 0.959 1.000  1  1  1  1  1
 0.027 0.263 0.418 0.621 0.828 0.870 0.904 0.975  1  1  1  1  1
 0.017 0.301 0.470 0.576 0.847 0.891 1.000 0.968  1  1  1  1  1
 0.029 0.187 0.618 0.778 0.787 0.887 0.934 1.000 0.958 1 1 1 1
 0.045 0.176 0.426 0.823 0.816 0.838 0.899 0.974 1 1 1 1 1
 0.106 0.167 0.445 0.627 0.819 0.903 0.852 0.911 1 1 1 1 1
 0.046 0.223 0.381 0.714 0.793 0.920 0.986 0.974 0.992 0.945 1 1 1
 0.107 0.192 0.391 0.567 0.675 0.735 0.925 0.906 0.883 1 1 1 1
 0.138 0.283 0.445 0.667 0.795 0.772 0.892 1.000 0.889 1 1 1 1
# Forecast
 0.067 0.417 0.696 0.827 0.894 0.912 0.935 1 1 1 1 1 1
 0.066 0.317 0.694 0.835 0.894 0.925 0.935 1 1 1 1 1 1
 0.069 0.313 0.627 0.834 0.897 0.926 0.942 1 1 1 1 1 1


# Stockweights.  ( from survey) mean 85-02 earlier missing values are 4000
#1   2   3    4    5    6    7    8    9
 37 185 481  910 1409 1968 2496 3077 3300 4000 5741 6171 4000 5213
 37 185 481  910 1409 1968 2496 3077 3300 4615 4000 7337 4000 4000
 37 185 481  910 1409 1968 2496 3077 3300 4898 4000 6376 4000 4000
 37 185 481  910 1409 1968 2496 3077 3300 3952 4958 5323 4000 5213
 37 185 481  910 1409 1968 2496 3077 3300 4463 5101 4000 4000 4000
 37 185 481  910 1409 1968 2496 3077 3300 3941 4138 5155 4000 4000
 36 244 568 1187 1673 2371 2766 3197 3331 4564 4930 4852 5209 4000
 35 239 671 1134 1943 2399 3190 3293 3728 4436 3863 5241 4000 4000
 31 162 550 1216 1825 2605 3030 3642 3837 3653 4877 3814 5279 4163
 37 176 457  974 1830 2695 3102 3481 3318 4169 4560 4631 5293 5293
 26 182 441  887 1510 2380 3009 3499 3195 5039 5015 4975 5338 4575
 29 184 457  840 1234 1965 2675 3052 3267 4115 4682 5220 5183 5204
 31 176 501 1003 1406 1884 2496 3755 3653 5243 3427 4000 5356 4000
 28 157 503  894 1365 1891 2325 2936 3682 4674 4503 5250 4000 4000
 41 168 384  878 1492 1785 2562 2573 3266 4047 5294 5294 4709 4000
 33 181 392  680 1235 1766 1717 2977 2131 3154 3897 5258 4190 4000
 37 167 440  755 1065 1857 2689 5377 1306 3119 3220 1640 3753 4000
 41 174 453  813 1076 1477 2171 2426 4847 3686 3846 3508 4000 4000
 50 174 424  817 1221 1425 1915 2390 3692 3508 4028 2815 4133 4000
 41 203 415  753 1241 1747 1996 2342 3076 3275 3701 3630 3806 4202
 33 206 480  715 1189 1956 2366 2782 2922 3534 4000 4000 2159 4000
